SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1991 to 2000 - (created: 09-03-2020)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
15926;United Kingdom;Saudi Arabia;ALARM;ARM;Missiles;1991;Yes;56;Yes;1998;Yes;New;0.4000;0.4000;22.4;No
19724;United States;Switzerland;AIM-120A AMRAAM;BVRAAM;Missiles;1993;Yes;64;No;1997;No;New;0.4000;0.4000;25.6;No
24437;Poland;Lithuania;BRDM-2;Reconnaissance AV;Armoured vehicles;1994;Yes;11;No;1995;No;Second hand;0.1500;0.06;0.66;No
24582;Poland;Lithuania;P-10/Knife Rest;Air search radar;Sensors;1996;No;2;No;1996;No;Second hand;4.0000;1.6;3.2;No
25828;Hungary;Peru;Mi-8T;Transport helicopter;Aircraft;1992;Yes;3;No;1993;No;New;6.0000;6.0000;18;No
25828;Hungary;Peru;Mi-8T;Transport helicopter;Aircraft;1992;Yes;1;No;1995;No;New;6.0000;6.0000;6;No
28205;Czechia;Lithuania;L-39Z Albatros;Trainer/combat ac;Aircraft;1998;No;2;No;1998;No;New;4.0000;4.0000;8;No
29084;Bulgaria;Macedonia;T-55AM-2;Tank;Armoured vehicles;1999;No;36;No;1999;No;Second hand;1.5000;0.6;21.6;No
17810;United States;Greece;Mk-15 Phalanx;CIWS;Air defence systems;1988;No;2;No;1992;No;New;7.0000;7.0000;14;No
23943;United States;New Zealand;Mk-45 127mm;Naval gun;Naval weapons;1989;Yes;1;No;1997;No;New;5.2500;5.2500;5.25;No
23943;United States;New Zealand;Mk-45 127mm;Naval gun;Naval weapons;1989;Yes;1;No;1999;No;New;5.2500;5.2500;5.25;No
20945;Sweden;New Zealand;CEROS-200;Fire control radar;Sensors;1991;No;1;No;1997;No;New;2.5000;2.5000;2.5;No
20945;Sweden;New Zealand;CEROS-200;Fire control radar;Sensors;1991;No;1;No;1999;No;New;2.5000;2.5000;2.5;No
22004;United States;New Zealand;SPS-49;Air search radar;Sensors;1993;Yes;1;No;1997;No;New;5.0000;5.0000;5;No
22004;United States;New Zealand;SPS-49;Air search radar;Sensors;1993;Yes;1;No;1999;No;New;5.0000;5.0000;5;No
28318;United Kingdom;Ireland;L-118 105mm;Towed gun;Artillery;1997;No;12;No;1998;No;Second hand;0.6000;0.24;2.88;No
